year,month,day,gender,births
1976,5,3636,M,3636
1975,5,3638,M,3638
1973,5,3639,M,3639
1973,5,3649,M,3649
1974,5,3653,M,3653
1976,4,3653,M,3653
1972,12,3655,M,3655
1974,4,3658,M,3658
1975,1,3669,M,3669
1977,4,3672,M,3672
1977,12,3673,M,3673
1978,4,3673,M,3673
1975,10,3674,M,3674
1976,6,3674,M,3674
1978,4,3675,M,3675
1973,4,3682,M,3682
1971,12,3684,M,3684
1972,4,3690,M,3690
1974,1,3691,M,3691
1975,4,3695,M,3695
1973,1,3697,M,3697
1976,5,3698,M,3698
1973,4,3699,M,3699
1974,2,3700,M,3700
1974,4,3700,M,3700
1976,1,3701,M,3701
1975,12,3704,M,3704
1973,12,3705,M,3705
1973,12,3707,M,3707
1974,3,3708,M,3708
1973,11,3710,M,3710
1975,11,3711,M,3711
1976,1,3711,M,3711
1976,3,3712,M,3712
1976,5,3712,M,3712
1976,2,3714,M,3714
1974,12,3715,M,3715
1975,3,3715,M,3715
1974,6,3716,M,3716
1975,12,3719,M,3719
1975,1,3721,M,3721
1976,4,3723,M,3723
1975,12,3724,M,3724
1972,11,3726,M,3726
1973,6,3727,M,3727
1973,7,3727,M,3727
1975,7,3733,M,3733
1973,6,3738,M,3738
1975,11,3738,M,3738
1974,7,3740,M,3740
1973,11,3741,M,3741
1976,2,3741,M,3741
1973,12,3742,M,3742
1975,6,3742,M,3742
1973,4,3743,M,3743
1975,3,3745,M,3745
1974,6,3746,M,3746
1975,6,3746,M,3746
1975,1,3747,M,3747
1974,11,3748,M,3748
1972,4,3750,M,3750
1973,2,3754,M,3754
1974,6,3756,M,3756
1975,5,3757,M,3757
1973,11,3758,M,3758
1978,5,3759,M,3759
1974,1,3760,M,3760
1978,5,3760,M,3760
1977,12,3762,M,3762
1975,3,3763,M,3763
1973,1,3765,M,3765
1972,12,3766,M,3766
1974,3,3767,M,3767
1978,4,3767,M,3767
1973,6,3769,M,3769
1976,3,3769,M,3769
1976,6,3769,M,3769
1975,2,3774,M,3774
1975,6,3774,M,3774
1973,4,3778,M,3778
1974,6,3779,M,3779
1973,10,3781,M,3781
1974,3,3781,M,3781
1972,6,3782,M,3782
1975,2,3782,M,3782
1972,4,3783,M,3783
1976,4,3784,M,3784
1976,7,3785,M,3785
1973,4,3786,M,3786
1973,5,3786,M,3786
1973,6,3788,M,3788
1974,10,3788,M,3788
1972,12,3791,M,3791
1978,6,3791,M,3791
1972,4,3792,M,3792
1973,3,3796,M,3796
1975,2,3797,M,3797
1976,4,3797,M,3797
1972,4,3798,M,3798
1977,1,3798,M,3798
1976,5,3799,M,3799
1977,4,3799,M,3799
1975,11,3800,M,3800
1975,12,3800,M,3800
1975,5,3803,M,3803
1976,2,3804,M,3804
1972,5,3810,M,3810
1975,11,3813,M,3813
1976,12,3813,M,3813
1972,6,3814,M,3814
1974,11,3817,M,3817
1972,6,3819,M,3819
1973,12,3819,M,3819
1974,2,3819,M,3819
1976,1,3821,M,3821
1973,2,3822,M,3822
1974,5,3822,M,3822
1977,12,3822,M,3822
1976,6,3824,M,3824
1977,12,3826,M,3826
1973,12,3827,M,3827
1974,2,3828,M,3828
1973,1,3829,M,3829
1973,2,3829,M,3829
1975,10,3832,M,3832
1976,1,3833,M,3833
1973,11,3840,M,3840
1978,1,3840,M,3840
1976,5,3841,M,3841
1976,4,3843,M,3843
1976,11,3843,M,3843
1974,4,3845,M,3845
1975,11,3845,M,3845
1976,3,3845,M,3845
1977,1,3851,M,3851
1974,5,3852,M,3852
1975,5,3852,M,3852
1978,1,3852,M,3852
1974,11,3853,M,3853
1977,1,3855,M,3855
1977,5,3857,M,3857
1978,1,3857,M,3857
1973,10,3858,M,3858
1975,3,3858,M,3858
1976,5,3858,M,3858
1976,12,3860,M,3860
1974,4,3862,M,3862
1974,12,3862,M,3862
1972,11,3863,M,3863
1974,12,3863,M,3863
1978,3,3866,M,3866
1975,11,3867,M,3867
1973,3,3870,M,3870
1975,5,3871,M,3871
1976,12,3872,M,3872
1977,11,3872,M,3872
1974,2,3873,M,3873
1975,4,3873,M,3873
1974,5,3874,M,3874
1975,8,3874,M,3874
1976,2,3874,M,3874
1973,1,3876,M,3876
1974,12,3876,M,3876
1977,12,3876,M,3876
1976,2,3878,M,3878
1976,6,3878,M,3878
1977,1,3880,M,3880
1977,12,3881,M,3881
1971,11,3882,M,3882
1978,4,3882,M,3882
1974,1,3884,M,3884
1972,3,3885,M,3885
1974,1,3887,M,3887
1975,12,3887,M,3887
1978,5,3889,M,3889
1976,2,3890,M,3890
1976,7,3890,M,3890
1976,6,3892,M,3892
1974,7,3893,M,3893
1978,4,3893,M,3893
1976,11,3894,M,3894
1972,12,3895,M,3895
1973,8,3896,M,3896
1984,4,3897,M,3897
1973,10,3898,M,3898
1974,3,3898,M,3898
1975,11,3898,M,3898
1972,11,3899,M,3899
1974,6,3899,M,3899
1977,4,3900,M,3900
1977,5,3900,M,3900
1975,5,3901,M,3901
1975,10,3901,M,3901
1974,3,3902,M,3902
1978,4,3902,M,3902
1976,11,3903,M,3903
1976,1,3904,M,3904
1974,11,3905,M,3905
1975,4,3905,M,3905
1975,8,3906,M,3906
1974,8,3907,M,3907
1972,5,3908,M,3908
1973,7,3908,M,3908
1975,11,3908,M,3908
1975,10,3909,M,3909
1976,5,3909,M,3909
1973,12,3910,M,3910
1973,7,3911,M,3911
1972,5,3912,M,3912
1975,2,3912,M,3912
1974,6,3913,M,3913
1978,1,3913,M,3913
1971,12,3914,M,3914
1972,5,3915,M,3915
1974,5,3915,M,3915
1973,4,3916,M,3916
1975,3,3916,M,3916
1973,9,3917,M,3917
1974,4,3918,M,3918
1979,4,3918,M,3918
1973,3,3919,M,3919
1977,11,3919,M,3919
1974,5,3920,M,3920
1972,3,3921,M,3921
1972,11,3922,M,3922
1977,6,3922,M,3922
1974,1,3923,M,3923
1976,11,3923,M,3923
1975,5,3924,M,3924
1974,8,3926,M,3926
1974,11,3926,M,3926
1976,10,3926,M,3926
1972,1,3927,M,3927
1972,3,3927,M,3927
1973,3,3929,M,3929
1973,10,3930,M,3930
1976,3,3930,M,3930
1975,12,3932,M,3932
1972,4,3933,M,3933
1976,5,3933,M,3933
1974,12,3934,M,3934
1975,3,3934,M,3934
1975,4,3934,M,3934
1976,7,3934,M,3934
1982,12,3936,M,3936
1975,9,3937,M,3937
1976,4,3937,M,3937
1978,3,3938,M,3938
1981,4,3938,M,3938
1977,6,3940,M,3940
1975,6,3941,M,3941
1972,7,3942,M,3942
1979,4,3942,M,3942
1975,11,3943,M,3943
1978,1,3943,M,3943
1975,3,3944,M,3944
1978,1,3944,M,3944
1975,1,3945,M,3945
1977,1,3947,M,3947
1975,1,3948,M,3948
1976,12,3948,M,3948
1978,10,3948,M,3948
1983,12,3948,M,3948
1973,7,3950,M,3950
1978,5,3950,M,3950
1972,1,3951,M,3951
1972,2,3951,M,3951
1974,3,3953,M,3953
1977,5,3954,M,3954
1978,3,3954,M,3954
1974,12,3956,M,3956
1975,5,3956,M,3956
1978,6,3956,M,3956
1974,6,3958,M,3958
1975,4,3958,M,3958
1975,10,3960,M,3960
1982,12,3960,M,3960
1974,4,3961,M,3961
1988,12,3961,M,3961
1973,12,3962,M,3962
1975,6,3962,M,3962
1973,12,3963,M,3963
1972,10,3964,M,3964
1975,2,3964,M,3964
1973,9,3966,M,3966
1972,7,3967,M,3967
1973,8,3967,M,3967
1975,11,3967,M,3967
1977,5,3967,M,3967
1972,12,3968,M,3968
1977,5,3968,M,3968
1973,8,3969,M,3969
1976,5,3969,M,3969
1973,6,3970,M,3970
1978,2,3970,M,3970
1972,10,3971,M,3971
1975,9,3972,M,3972
1977,7,3973,M,3973
1977,11,3973,M,3973
1972,6,3974,M,3974
1974,11,3976,M,3976
1975,12,3976,M,3976
1977,2,3976,M,3976
1974,12,3979,M,3979
1976,9,3979,M,3979
1973,7,3981,M,3981
1972,1,3982,M,3982
1976,8,3982,M,3982
1976,12,3982,M,3982
1972,12,3983,M,3983
1978,5,3983,M,3983
1976,3,3987,M,3987
1973,5,3988,M,3988
1978,10,3989,M,3989
1975,7,3990,M,3990
1978,5,3990,M,3990
1974,3,3991,M,3991
1977,12,3991,M,3991
1972,8,3992,M,3992
1973,10,3992,M,3992
1974,7,3992,M,3992
1975,7,3992,M,3992
1974,7,3993,M,3993
1976,8,3994,M,3994
1976,1,3996,M,3996
1974,9,3997,M,3997
1974,1,3999,M,3999
1975,12,3999,M,3999
1974,2,4001,M,4001
1974,11,4001,M,4001
1977,3,4001,M,4001
1973,1,4003,M,4003
1976,2,4003,M,4003
1977,5,4003,M,4003
1987,4,4004,M,4004
1973,11,4005,M,4005
1977,1,4006,M,4006
1984,12,4006,M,4006
1976,2,4007,M,4007
1977,4,4007,M,4007
1972,4,4010,M,4010
1973,1,4010,M,4010
1974,1,4011,M,4011
1974,11,4011,M,4011
1976,7,4011,M,4011
1977,6,4011,M,4011
1982,4,4011,M,4011
1973,12,4012,M,4012
1975,1,4013,M,4013
1975,11,4013,M,4013
1972,3,4014,M,4014
1978,12,4014,M,4014
1975,5,4015,M,4015
1976,1,4015,M,4015
1978,2,4015,M,4015
1975,8,4016,M,4016
1978,4,4017,M,4017
1974,1,4018,M,4018
1974,11,4018,M,4018
1975,12,4018,M,4018
1977,3,4018,M,4018
1978,5,4018,M,4018
1973,6,4019,M,4019
1974,1,4019,M,4019
1973,11,4020,M,4020
1974,10,4020,M,4020
1973,11,4021,M,4021
1975,6,4021,M,4021
1978,1,4021,M,4021
1974,2,4023,M,4023
1974,9,4024,M,4024
1975,9,4024,M,4024
1977,3,4024,M,4024
1972,6,4025,M,4025
1973,5,4025,M,4025
1974,10,4025,M,4025
1971,5,4026,M,4026
1972,10,4026,M,4026
1972,10,4026,M,4026
1976,10,4026,M,4026
1976,10,4027,M,4027
1976,11,4027,M,4027
1974,12,4028,M,4028
1972,2,4030,M,4030
1976,2,4030,M,4030
1982,4,4032,M,4032
1972,11,4033,M,4033
1974,2,4033,M,4033
1972,3,4034,M,4034
1976,12,4034,M,4034
1984,12,4034,M,4034
1976,3,4035,M,4035
1975,2,4036,M,4036
1979,3,4036,M,4036
1976,6,4037,M,4037
1984,4,4037,M,4037
1973,9,4039,M,4039
1975,3,4039,M,4039
1976,11,4039,M,4039
1977,11,4039,M,4039
1972,1,4040,M,4040
1972,7,4041,M,4041
1973,2,4041,M,4041
1972,5,4042,M,4042
1985,4,4043,M,4043
1978,11,4045,M,4045
1976,6,4046,M,4046
1977,11,4046,M,4046
1979,5,4046,M,4046
1977,12,4047,M,4047
1983,12,4047,M,4047
1971,12,4048,M,4048
1973,2,4048,M,4048
1975,7,4048,M,4048
1975,8,4048,M,4048
1973,7,4049,M,4049
1976,6,4049,M,4049
1979,4,4049,M,4049
1975,7,4050,M,4050
1979,3,4050,M,4050
1973,8,4051,M,4051
1986,5,4051,M,4051
1972,7,4052,M,4052
1978,3,4053,M,4053
1976,1,4054,M,4054
1977,2,4056,M,4056
1972,10,4057,M,4057
1975,2,4057,M,4057
1977,4,4057,M,4057
1972,1,4059,M,4059
1977,2,4059,M,4059
1979,5,4059,M,4059
1975,10,4060,M,4060
1974,8,4061,M,4061
1973,3,4062,M,4062
1977,10,4062,M,4062
1978,2,4062,M,4062
1972,3,4063,M,4063
1976,11,4063,M,4063
1976,12,4063,M,4063
1977,2,4063,M,4063
1972,9,4064,M,4064
1978,1,4064,M,4064
1978,3,4064,M,4064
1974,7,4065,M,4065
1972,5,4066,M,4066
1972,5,4066,M,4066
1977,7,4066,M,4066
1978,11,4066,M,4066
1984,1,4068,M,4068
1973,6,4069,M,4069
1974,3,4069,M,4069
1978,12,4069,M,4069
1971,5,4070,M,4070
1972,6,4072,M,4072
1975,10,4072,M,4072
1977,4,4072,M,4072
1978,4,4072,M,4072
1973,8,4074,M,4074
1973,9,4074,M,4074
1975,12,4074,M,4074
1977,4,4075,M,4075
1980,4,4075,M,4075
1982,11,4075,M,4075
1973,3,4077,M,4077
1977,4,4077,M,4077
1979,4,4077,M,4077
1972,7,4079,M,4079
1972,10,4079,M,4079
1971,12,4080,M,4080
1979,12,4080,M,4080
1973,9,4081,M,4081
1973,11,4081,M,4081
1974,11,4081,M,4081
1978,11,4081,M,4081
1977,6,4082,M,4082
1980,12,4082,M,4082
1973,6,4083,M,4083
1985,12,4083,M,4083
1972,4,4084,M,4084
1973,5,4084,M,4084
1978,6,4084,M,4084
1977,5,4085,M,4085
1976,10,4087,M,4087
1971,5,4088,M,4088
1974,6,4088,M,4088
1977,7,4088,M,4088
1973,9,4090,M,4090
1976,11,4091,M,4091
1978,3,4091,M,4091
1978,4,4091,M,4091
1984,1,4092,M,4092
1977,3,4093,M,4093
1977,11,4094,M,4094
1983,12,4094,M,4094
1977,2,4095,M,4095
1984,1,4095,M,4095
1978,4,4097,M,4097
1977,3,4098,M,4098
1979,4,4098,M,4098
1975,8,4099,M,4099
1977,12,4099,M,4099
1978,3,4099,M,4099
1987,12,4099,M,4099
1971,6,4100,M,4100
1976,11,4100,M,4100
1979,5,4100,M,4100
1972,1,4102,M,4102
1972,12,4102,M,4102
1975,3,4102,M,4102
1972,7,4103,M,4103
1974,9,4104,M,4104
1976,7,4104,M,4104
1986,11,4104,M,4104
1976,1,4105,M,4105
1978,11,4105,M,4105
1969,5,4106,M,4106
1972,4,4107,M,4107
1977,6,4107,M,4107
1972,5,4108,M,4108
1974,8,4108,M,4108
1974,12,4108,M,4108
1980,1,4109,M,4109
1972,1,4110,M,4110
1977,12,4110,M,4110
1982,12,4110,M,4110
1986,12,4110,M,4110
1969,4,4112,M,4112
1971,6,4112,M,4112
1977,2,4112,M,4112
1972,11,4113,M,4113
1973,12,4113,M,4113
1971,5,4114,M,4114
1972,2,4114,M,4114
1979,12,4114,M,4114
1977,5,4116,M,4116
1978,12,4116,M,4116
1973,6,4117,M,4117
1975,6,4118,M,4118
1977,1,4118,M,4118
1978,6,4118,M,4118
1979,4,4118,M,4118
1978,5,4119,M,4119
1969,4,4120,M,4120
1979,2,4120,M,4120
1980,1,4120,M,4120
1977,4,4121,M,4121
1976,4,4122,M,4122
1975,5,4123,M,4123
1981,4,4123,M,4123
1969,5,4124,M,4124
1976,5,4124,M,4124
1978,12,4124,M,4124
1986,3,4124,M,4124
1987,12,4124,M,4124
1976,8,4125,M,4125
1972,2,4126,M,4126
1975,6,4127,M,4127
1982,11,4127,M,4127
1973,4,4128,M,4128
1977,12,4128,M,4128
1977,6,4129,M,4129
1986,1,4129,M,4129
1977,9,4130,M,4130
1973,1,4131,M,4131
1979,1,4131,M,4131
1986,4,4131,M,4131
1971,6,4132,M,4132
1978,1,4132,M,4132
1978,2,4132,M,4132
1972,10,4133,M,4133
1972,12,4133,M,4133
1971,12,4134,M,4134
1979,1,4134,M,4134
1986,10,4134,M,4134
1972,6,4136,M,4136
1976,10,4136,M,4136
1980,4,4138,M,4138
1987,1,4138,M,4138
1978,7,4140,M,4140
1972,5,4141,M,4141
1973,3,4141,M,4141
1986,12,4141,M,4141
1973,3,4142,M,4142
1977,1,4144,M,4144
1978,2,4144,M,4144
1984,11,4144,M,4144
1978,11,4145,M,4145
1975,1,4146,M,4146
1978,6,4146,M,4146
1985,12,4146,M,4146
1978,12,4147,M,4147
1980,5,4147,M,4147
1969,12,4148,M,4148
1973,1,4150,M,4150
1975,9,4150,M,4150
1984,4,4150,M,4150
1979,4,4151,M,4151
1972,6,4152,M,4152
1973,10,4152,M,4152
1977,1,4152,M,4152
1979,1,4152,M,4152
1979,2,4152,M,4152
1980,11,4152,M,4152
1981,12,4152,M,4152
1987,1,4152,M,4152
1972,1,4154,M,4154
1972,3,4154,M,4154
1973,12,4154,M,4154
1975,1,4154,M,4154
1975,8,4154,M,4154
1976,8,4154,M,4154
1974,3,4155,M,4155
1974,4,4155,M,4155
1977,3,4155,M,4155
1977,11,4155,M,4155
1985,4,4156,M,4156
1986,11,4156,M,4156
1973,8,4158,M,4158
1975,7,4158,M,4158
1984,3,4158,M,4158
1977,5,4159,M,4159
1975,1,4160,M,4160
1975,7,4160,M,4160
1983,1,4161,M,4161
1984,4,4161,M,4161
1976,12,4163,M,4163
1985,11,4163,M,4163
1969,11,4164,M,4164
1972,10,4164,M,4164
1972,9,4165,M,4165
1974,2,4165,M,4165
1984,1,4166,M,4166
1976,10,4167,M,4167
1977,11,4167,M,4167
1988,2,4167,M,4167
1969,4,4168,M,4168
1971,11,4168,M,4168
1977,8,4170,M,4170
1982,3,4170,M,4170
1984,1,4171,M,4171
1969,5,4172,M,4172
1970,4,4172,M,4172
1976,4,4172,M,4172
1975,2,4173,M,4173
1976,4,4173,M,4173
1976,7,4173,M,4173
1984,3,4173,M,4173
1983,1,4174,M,4174
1985,1,4174,M,4174
1979,6,4175,M,4175
1986,12,4175,M,4175
1988,1,4175,M,4175
1971,4,4176,M,4176
1974,4,4176,M,4176
1973,9,4177,M,4177
1973,10,4177,M,4177
1977,1,4177,M,4177
1971,5,4178,M,4178
1974,10,4178,M,4178
1978,7,4179,M,4179
1981,4,4179,M,4179
1977,7,4180,M,4180
1987,11,4180,M,4180
1974,9,4181,M,4181
1984,4,4181,M,4181
1988,4,4181,M,4181
1972,11,4182,M,4182
1972,12,4182,M,4182
1986,11,4182,M,4182
1987,1,4182,M,4182
1977,9,4183,M,4183
1973,1,4184,M,4184
1976,9,4184,M,4184
1984,11,4185,M,4185
1974,4,4186,M,4186
1973,11,4187,M,4187
1976,7,4187,M,4187
1978,3,4187,M,4187
1983,4,4187,M,4187
1987,4,4187,M,4187
1978,6,4188,M,4188
1984,6,4188,M,4188
1986,10,4188,M,4188
1987,3,4188,M,4188
1971,4,4190,M,4190
1986,3,4191,M,4191
1972,6,4192,M,4192
1979,4,4192,M,4192
1978,6,4193,M,4193
1971,4,4194,M,4194
1971,6,4194,M,4194
1979,5,4194,M,4194
1983,11,4194,M,4194
1972,4,4195,M,4195
1976,4,4195,M,4195
1976,5,4195,M,4195
1977,10,4195,M,4195
1979,6,4195,M,4195
1982,12,4195,M,4195
1985,3,4195,M,4195
1969,5,4196,M,4196
1984,2,4196,M,4196
1988,1,4196,M,4196
1976,5,4197,M,4197
1976,7,4197,M,4197
1977,6,4197,M,4197
1978,5,4197,M,4197
1979,12,4197,M,4197
1983,1,4197,M,4197
1969,1,4198,M,4198
1981,1,4198,M,4198
1983,11,4198,M,4198
1986,4,4198,M,4198
1972,2,4199,M,4199
1973,5,4199,M,4199
1969,3,4200,M,4200
1979,5,4200,M,4200
1982,1,4200,M,4200
1979,1,4201,M,4201
1986,11,4201,M,4201
1988,2,4201,M,4201
1975,10,4202,M,4202
1978,12,4202,M,4202
1975,9,4203,M,4203
1983,11,4203,M,4203
1984,12,4203,M,4203
1970,5,4204,M,4204
1971,10,4204,M,4204
1984,1,4204,M,4204
1986,1,4204,M,4204
1972,1,4205,M,4205
1979,1,4205,M,4205
1984,12,4205,M,4205
1987,10,4205,M,4205
1977,10,4207,M,4207
1983,12,4207,M,4207
1976,8,4208,M,4208
1982,1,4208,M,4208
1973,1,4209,M,4209
1979,2,4209,M,4209
1972,8,4210,M,4210
1973,2,4210,M,4210
1976,4,4210,M,4210
1978,10,4210,M,4210
1978,12,4210,M,4210
1981,5,4210,M,4210
1983,11,4210,M,4210
1973,2,4211,M,4211
1979,11,4211,M,4211
1971,11,4212,M,4212
1973,3,4212,M,4212
1982,4,4212,M,4212
1983,12,4212,M,4212
1986,1,4212,M,4212
1977,3,4213,M,4213
1980,5,4213,M,4213
1973,2,4214,M,4214
1976,12,4214,M,4214
1977,5,4214,M,4214
1986,12,4214,M,4214
1976,1,4217,M,4217
1974,7,4219,M,4219
1976,10,4219,M,4219
1980,6,4219,M,4219
1978,2,4220,M,4220
1987,11,4220,M,4220
1988,12,4220,M,4220
1973,8,4221,M,4221
1974,12,4221,M,4221
1981,12,4221,M,4221
1983,12,4221,M,4221
1986,11,4221,M,4221
1979,4,4223,M,4223
1977,10,4225,M,4225
1969,3,4226,M,4226
1974,5,4226,M,4226
1979,2,4226,M,4226
1979,12,4226,M,4226
1978,6,4227,M,4227
1980,1,4227,M,4227
1971,7,4228,M,4228
1971,12,4228,M,4228
1983,12,4228,M,4228
1983,10,4229,M,4229
1972,11,4230,M,4230
1974,3,4230,M,4230
1974,10,4230,M,4230
1975,7,4230,M,4230
1983,11,4230,M,4230
1984,5,4230,M,4230
1987,3,4230,M,4230
1979,5,4231,M,4231
1980,2,4231,M,4231
1981,1,4231,M,4231
1984,5,4232,M,4232
1984,12,4232,M,4232
1987,1,4232,M,4232
1974,10,4233,M,4233
1980,12,4233,M,4233
1983,5,4233,M,4233
1987,2,4234,M,4234
1972,8,4235,M,4235
1977,7,4235,M,4235
1973,5,4236,M,4236
1981,3,4236,M,4236
1986,4,4236,M,4236
1975,9,4238,M,4238
1976,4,4238,M,4238
1978,2,4238,M,4238
1981,5,4238,M,4238
1987,1,4238,M,4238
1987,5,4238,M,4238
1974,6,4239,M,4239
1985,11,4239,M,4239
1979,12,4241,M,4241
1977,10,4242,M,4242
1985,2,4242,M,4242
1977,10,4243,M,4243
1970,4,4244,M,4244
1971,4,4244,M,4244
1979,2,4244,M,4244
1985,1,4244,M,4244
1978,11,4245,M,4245
1979,11,4245,M,4245
1982,1,4245,M,4245
1980,12,4246,M,4246
1986,12,4246,M,4246
1977,10,4247,M,4247
1980,2,4247,M,4247
1981,11,4247,M,4247
1981,12,4247,M,4247
1986,1,4247,M,4247
1969,3,4248,M,4248
1969,4,4248,M,4248
1978,1,4248,M,4248
1983,12,4248,M,4248
1981,5,4249,M,4249
1983,12,4249,M,4249
1984,3,4249,M,4249
1985,1,4249,M,4249
1972,8,4250,M,4250
1979,12,4250,M,4250
1984,11,4250,M,4250
1972,10,4251,M,4251
1973,5,4251,M,4251
1980,5,4251,M,4251
1969,6,4252,M,4252
1976,10,4252,M,4252
1978,11,4253,M,4253
